Date,Open,High,Low,Close
2018-01-05,5000,5100,4900,5055
2018-01-08,5056,5155,4956,5145
2018-01-09,5151,5320,5146,5226
2018-01-10,5219,5295,5115,5152
2018-01-11,5162,5285,5108,5237
2018-01-12,5243,5263,5135,5228
2018-01-16,5224,5294,5223,5231
2018-01-17,5231,5306,5162,5176
2018-01-18,5160,5238,5087,5230
2018-01-19,5248,5365,5209,5281
2018-01-22,5294,5488,5251,5388
2018-01-23,5371,5383,5347,5366
2018-01-24,5354,5355,5257,5262
2018-01-25,5261,5306,5169,5238
2018-01-26,5244,5300,5228,5233
2018-01-29,5218,5300,5176,5219
2018-01-30,5200,5239,5184,5232
2018-01-31,5245,5329,5195,5281
2018-02-01,5274,5391,5200,5368
2018-02-02,5378,5438,5234,5321
2018-02-05,5341,5406,5224,5253
2018-02-06,5237,5396,5163,5297
2018-02-07,5311,5378,5240,5329
2018-02-08,5338,5437,5257,5396
2018-02-09,5410,5520,5383,5471
2018-02-12,5480,5528,5407,5409
2018-02-13,5421,5511,5415,5487
2018-02-14,5478,5652,5460,5574
2018-02-15,5571,5690,5505,5640
2018-02-16,5631,5701,5461,5553
2018-02-20,5561,5671,5519,5630
2018-02-21,5615,5758,5537,5695
2018-02-22,5703,5781,5614,5748
2018-02-23,5762,5922,5708,5853
2018-02-26,5860,5960,5818,5881
2018-02-27,5881,6030,5851,5974
2018-02-28,5970,5999,5853,5894
2018-03-01,5895,5937,5819,5936
2018-03-02,5944,6101,5887,6027
2018-03-05,6045,6202,5975,6135
2018-03-06,6119,6201,6028,6082
2018-03-07,6064,6107,6044,6106
2018-03-08,6124,6187,6111,6172
2018-03-09,6163,6191,6106,6173
2018-03-12,6164,6220,6040,6085
2018-03-13,6104,6108,6052,6099
2018-03-14,6116,6166,5968,6064
2018-03-15,6050,6072,5936,6020
2018-03-16,6039,6151,5982,6053
2018-03-19,6067,6101,5909,6001
2018-03-20,5995,6000,5893,5972
2018-03-21,5964,6023,5828,5900
2018-03-22,5880,5951,5791,5827
